Entidad o Division,Titulo de Investigación,ids,Periodo,Detalle de Investigación,palabras clave,Decálogo,Gobernanza y capacidades TOPP,Sectores impulsores,Brechas Atendidas,Sectores Atendidos,Preguntas Agenda Común,Tópicos CEPAL
DDE,Estudio sobre gastos tributarios vinculados con cambio climático en la región.,DDE-25/26-1,25/26,¿Qué tipos de gastos tributarios están vinculados a la acción climática en países de la región? ¿Cuáles de ellos inciden de forma negativa a la acción climática?,"cambio climático, gastos tributarios, política climática, impuestos ambientales, financiamiento climático","10) Espacios fiscales limitados y altos costos del financiamiento.  Desde una perspectiva macroeconómica, también el 1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal, y el 5) Desarrollo ambientalmente no sostenible y cambio climático.",Técnicas: análisis regionales de identificación de gastos tributarios vinculados a la acción climática para tomadores de decisión en Ministerios de Hacienda. Prospectivas: propuesta de metodología para identificar incidencia negativa de gastos tributarios a la acción climática.,Sectores impulsores relacionados con el gran impulso para la sostenibilidad: 8) Transición energética.,"1, 5, 10","4, 8",,"CAMBIO CLIMÁTICO, ASUNTOS FISCALES, MEDIO AMBIENTE"
DDE,Estudio sobre el efecto multiplicador de la inversión pública.,DDE-25/26-2,25/26,"¿Cuál es el efecto multiplicador de la inversión pública?  Con base en la disponibilidad de datos, tratar de estimar efecto de atracción de inversión privada.","inversión pública, efecto multiplicador, inversión privada, atracción de inversión","10) Espacios fiscales limitados y altos costos del financiamiento.  Desde una perspectiva macroeconómica, también el 5) Desarrollo ambientalmente no sostenible y cambio climático.",Técnicas y prospectivas: estimaciones de efectos de capacidad de la inversión pública para atraer inversión privada para tomadores de decisión en Ministerios de Hacienda.,"Sectores impulsores relacionados con industria, servicios gran impulso para la sostenibilidad.","1, 5, 10",,¿Cuál es el efecto multiplicador de la inversión pública?,"INVERSIÓN, ASUNTOS FISCALES, CRECIMIENTO ECONÓMICO, MACROECONOMÍA,INFRAESTRUCTURA"
DDE,Fortalecimiento de capacidades de países seleccionados para acceder a mecanismos de financiamiento innovador.,DDE-25/26-3,25/26,,"financiamiento innovador, mecanismos de financiamiento, capacidades, fortalecimiento",Espacios fiscales limitados y altos costos de financiamiento.,"Técnicas: Desarrollo de políticas integrales con enfoques transversales en áreas claves del desarrollo.  Implementación y gestión de sistemas integrales de información para apoyar la implementación de políticas. Evaluación del impacto de las políticas y resultados de programas. Establecimiento de mecanismos de rendición de cuentas para optimizar la función pública. Operativas: Implementación de herramientas modernas de gestión pública para procedimientos presupuestarios, planificación, gestión y evaluación de resultados, así como para la rendición de cuentas. Creación de instancias efectivas de coordinación entre entidades públicas. Optimización de la participación significativa del sector privado y otros actores del desarrollo. Garantía de acceso oportuno a recursos financieros para la implementación de políticas públicas. Políticas: Fomento de liderazgos públicos que inspiren confianza y fortalezcan la coordinación y colaboración con la sociedad civil, el sector privado y la academia. Promoción de colaboración y coordinación efectivas entre diferentes niveles de gobierno. Establecimiento de redes de colaboración entre pares a nivel local, nacional, regional e internacional. Prospectivas: Fomento de una cultura de diálogo para anticipar y gestionar conflictos entre los actores del desarrollo.",En primera instancia los sectores impulsores que serán objeto de estudio son aquellos vinculados con el gran impulso para la sostenibilidad.,10,,¿Qué acciones deben tomar los países de la región para ampliar el acceso a mecanismos innovadores de financiamiento para el desarrollo?,"FINANCIAMIENTO PARA EL DESARROLLO, COOPERACIÓN INTERNACIONAL, DESARROLLO SOSTENIBLE, ARQUITECTURA FINANCIERA"
DDE,Movilidad laboral e informalidad. ,DDE-25/26-4,25/26,"Identificar como es el proceso de movilidad de los ocupados informales a lo largo de su vida laboral. Diferencias asociadas a la formación del individuo, y diferencias asociados a las actividades donde se ocupan.","movilidad laboral, informalidad, ocupación informal, vida laboral, formación individual, actividades laborales","1)Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 2)Alta desigualdad y baja movilidad y cohesión sociales; 4) Sistemas educativos y de formación profesional débiles;",Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas para la adopción de medidas para reducir la informalidad laboral.,"Análisis servirá para identificar la dinámica del empleo informal en la región, y de a nivel de ramas de actividad y por género y grupos etarios. Buscando posible conexión con los sectores impulsores.","1, 2, 4",,Distribución del ingreso: ¿Cómo afectan los niveles de informalidad en el mercado laboral a la distribución del ingreso?,"EMPLEO, ESTRATIFICACIÓN Y MOVILIDAD SOCIAL, EDUCACIÓN, DESARROLLO INCLUSIVO, DESIGUALDAD"
DDE,Dinámica de la inactividad. ,DDE-25/26-5,25/26,"Identificar las principales Características de la población inactiva, identificar los grupo de mayor movimiento, e identificar patrones entre los grupos que salen de la inactividad y entran en el fuerza de trabajo, y los que entran en la inactividad, los que salen de la fuerza de trabajo.","dinámica laboral, población inactiva, fuerza de trabajo, mercado laboral, desempleo, grupos poblacionales","1)Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 2)Alta desigualdad y baja movilidad y cohesión sociales;","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas para entender la dinámica de la inactividad laboral, para facilitar la formulación de políticas para la incorporación de jóvenes en el mercado de trabajo, y para entender cambios en la dinámica de la inactividad luego de la pandemia.",Puede estar relacionado con la economía del cuidado.,"1, 2",5,Productividad:¿Qué factores explican la dinámica de la productividad laboral?,"EMPLEO, DEMOGRAFÍA, ESTADÍSTICAS SOCIALES, ESTADÍSTICAS ECONÓMICAS, INCLUSIÓN LABORAL"
DDE,Estudio sobre gastos tributarios vinculados con la igualdad de género en la región.,DDE-WL-1,WL,¿Qué tipos de gastos tributarios están vinculados la igualdad de género en países de la región? ¿Cuáles de ellos inciden de forma negativa a la igualdad de género?,"gastos tributarios, igualdad de género, política fiscal, género, tributación","10) Espacios fiscales limitados y altos costos del financiamiento.  Desde una perspectiva macroeconómica, también el 9) Alta desigualdad de género.",Técnicas: análisis regionales de identificación de gastos tributarios vinculados a la igualdad de género para tomadores de decisión en Ministerios de Hacienda. Prospectivas: propuesta de metodología para identificar incidencia negativa de gastos tributarios a la igualdad de género.,Sectores impulsores relacionados con servicios: 5) Sociedad del cuidado.,"2, 9, 10",5,¿Qué tipos de gastos tributarios están vinculados a la igualdad de género?,"ASUNTOS FISCALES, AUTONOMÍA ECONÓMICA DE LAS MUJERES, IGUALDAD DE GÉNERO, GÉNERO"
DDE,Estudio sobre el diseño de gastos tributarios enfocados en incentivar la inversión y su alineación con las reglas GloBE del Pilar 2 del BEPS.,DDE-WL-2,WL,¿Cómo deben diseñarse los incentivos tributarios a la inversión para que no se vean afectados por las reglas GloBe del Pilar 2 del BEPS?,"diseño de gastos tributarios, incentivos tributarios, inversión, pilares del beps, reglas globe",10) Espacios fiscales limitados y altos costos del financiamiento.,Técnicas y prospectivas: fortalecimiento de capacidades de tomadores de decisión en Ministerios de Hacienda.,"Sectores impulsores relacionados con industria, servicios gran impulso para la sostenibilidad.",10,,¿Conexión entre el bajo espacio fiscal y la dinámica de la inversión privada?,"ASUNTOS FISCALES, FINANCIAMIENTO PARA EL DESARROLLO, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES, MACROECONOMÍA"
CEPAL MEXICO,Estudio sobre las narrativas para la transformación de los sistemas alimentarios,CEPAL MEXICO-25/26-1,25/26,"¿Cuáles son las narrativas y la realidad actual de ciertos segmentos del sector agropecuario (empleo y juventud; ciencia, tecnología e innovación; comercio; otros)?  ¿Cómo impactan esas narrativas en la visión de desarrollo del sector agropecuario y cómo pueden transformarse?","narrativas, transformación, sistemas alimentarios, sector agropecuario, empleo, juventud, ciencia, tecnología, innovación, comercio, desarrollo","Crecimiento económico bajo, volátil, excluyente y no sostenible",Los resultados darán argumentos y visiones alternativas de desarrollo agropecuario y buscarán posicionar la visión de sostenibilidad desde países productores y en desarrollo.,Bioeconomía Agricultura para la seguridad alimentaria,1,"11, 12",¿Cómo puede la digitalización del sector agropecuario contribuir al desarrollo productivo y económico sostenible en América Latina y el Caribe?,"AGRICULTURA Y DESARROLLO RURAL, CAMBIO ESTRUCTURAL, DESARROLLO SOSTENIBLE, EMPLEO, INNOVACIÓN CIENCIA Y TECNOLOGÍA"
CEPAL MEXICO,Estudio sobre el potencial de los bio servicios y productos en el sector agropecuario.,CEPAL MEXICO-25/26-2,25/26,¿Cuáles enfoques y metodologías existen para realizar análisis prospectivos de bionegocios?  ¿Cuáles son los retos y las oportunidades de la subregión para aprovechar la economía verde? ¿Cómo identificar y priorizar los subsectores agropecuarios estratégicos? ,"bio servicios, productos agropecuarios, análisis prospectivos, bionegocios, economía verde, subsectores agropecuarios estratégicos","Crecimiento económico bajo, volátil, excluyente y no sostenible","Los resultados darán herramientas para identificar oportunidades de la bioeconomía para la innovación de los productos y servicios del sector agropecuario, y recomendaciones para la priorización de subsectores estratégicos ",Bioeconomía Exportación de servicios modernos,1,"4, 11",¿Cuál es la importancia económica del sector en los países de la región en la actualidad y qué importancia tienen en términos de empleo y/o sostenibilidad ambiental? ¿Y cuál se espera podría tener?,"BIOECONOMÍA, AGRICULTURA Y DESARROLLO RURAL, DESARROLLO SOSTENIBLE, CADENAS DE VALOR, ECONOMÍA CIRCULAR"
CEPAL MEXICO,Pobreza Energética.,CEPAL MEXICO-25/26-3,25/26,"¿ Qué definición de pobreza energética se apega al contexto de los países de la subregión? ¿Qué metodología e indicadores son los apropiados para medir la pobreza energética, tomando en cuenta el contexto de los países de la subregión? ¿Qué recomendaciones hay para disminuir y eliminar la pobreza energética en los países de la subregión?","pobreza energética, acceso a energía, energía sostenible, desarrollo sostenible, políticas energéticas, indicadores de pobreza, energía para todos","Alta Desigualdad y baja movilidad y cohesión sociales, Desarrollo ambientalmente no sostenible y cambio climático","El estudio brindará herramientas para tener una definición regional de pobreza energética y para su medición acorde al contexto social, económico, cultural, etc. El estudio también dará insumos para creación de políticas públicas y elementos de gobernanza.",Sector energía y usos productivos asociados,"1, 2, 5",,,"POBREZA, ENERGÍA, DESARROLLO SOSTENIBLE,DESIGUALDAD, INFRAESTRUCTURA, VIVIENDA Y SERVICIOS BÁSICOS"
CEPAL MEXICO,Estudio sobre la capacidad de los sectores impulsores identificados por la CEPAL para generar valor agregado y empleo,CEPAL MEXICO-25/26-4,25/26,¿cuál es el potencial que tienen los sectores impulsores identificados por la CEPAL para generar valor agregado nacional y empleo?,"sectores impulsores, valor agregado, empleo, desarrollo económico, crecimiento económico","Crecimiento económico bajo, volátil, excluyente y no sostenible",Los resultados darán información robusta para el diseño de políticas de desarrollo productivo ,Todos los sectores impulsores identificados por la CEPAL,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","¿Qué impacto potencial podría tener el impulso de estos sectores en términos de crecimiento económico, transformación de la estructura productiva, creación de empleos y/o conservación ambiental?","EMPLEO, CAMBIO ESTRUCTURAL,  DESARROLLO INDUSTRIAL, CADENAS DE VALOR, PRODUCTIVIDAD, CRECIMIENTO ECONÓMICO, DESARROLLO SOSTENIBLE"
CEPAL MEXICO,Estudio sobre mecanismos innovadores de financiamiento para alcanzar objetivos de desarrollo,CEPAL MEXICO-25/26-5,25/26,¿qué acciones deben tomar los países centroamericanos para tener acceso a mecanismos innovadores de financiamiento para el desarrollo?,"financiamiento innovador, desarrollo sostenible, mecanismos de financiamiento, acceso al financiamiento, objetivos de desarrollo",Espacios fiscales limitados y altos costos de financiamiento,Los resultados darán información sobre el proceso a seguir y las capacidades que se tienen que desarrollar para tener acceso a fuentes innovadoras de financiamiento al desarrollo.,,10,,¿Qué acciones deben tomar los países de la región para ampliar el acceso a mecanismos innovadores de financiamiento para el desarrollo?,"FINANCIAMIENTO PARA EL DESARROLLO, COOPERACIÓN INTERNACIONAL, DESARROLLO SOSTENIBLE, AGENDA 2030 PARA EL DESARROLLO SOSTENIBLE, ARQUITECTURA FINANCIERA"
CEPAL MEXICO,Estudio sobre los retos y las oportunidades para el fomento de la economía circular en Centroamérica,CEPAL MEXICO-25/26-6,25/26,¿cuáles son las capacidades actuales y los cuellos de botella que enfrentan los países de Centroamérica para el desarrollo de la economía circular? ¿qué políticas públicas pueden ser implementadas para fomentar la economía circular?,"economía circular, centroamérica, desarrollo sostenible, políticas públicas, capacidades nacionales, cuellos de botella, fomento económico","Desarrollo ambientalmente no sostenible y cambio climático Crecimiento económico bajo, volátil, excluyente y no sostenible",Los resultados ofrecerán lineamientos a los hacedores de política para diseñar estrategias para el desarrollo de la economía circular,Economía circular,"1, 5",10,¿Qué desafíos enfrentan los países de la región para la implementación de políticas de desarrollo sostenible?,"ECONOMÍA CIRCULAR, DESARROLLO SOSTENIBLE, POLÍTICAS PÚBLICAS, CAMBIO ESTRUCTURAL, GESTIÓN PÚBLICA, DESARROLLO INDUSTRIAL"
CEPAL MEXICO,Estudio sobre el grado de preparación técnico de los países de Centroamérica para el comercio sin papel,CEPAL MEXICO-25/26-7,25/26,¿cuál el estado actual en materia técnica de los países de Centroamérica para transitar hacia un comercio sin papel?  ¿qué políticas pueden llevar a cabo para transitar hacia el comercio sin papel?,"comercio electrónico, preparación técnica, comercio sin papel, integración regional, política comercial",Insuficiente integración económica regional,Evidencia y recomendaciones para transitar hacia el comercio sin papel en Centroamérica,,8,,"¿Cómo puede contribuir el desarrollo y uso de infraestructura digital a la facilitación del comercio intrarregional (por ejemplo, comercio sin papel)?","COMERCIO INTERNACIONAL, FACILITACIÓN DEL COMERCIO, GOBIERNO DIGITAL, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC), INTEGRACIÓN REGIONAL"
CEPAL MEXICO,Estudio sobre el impacto del aumento en el salario mínimo en la economía de Guatemala,CEPAL MEXICO-25/26-8,25/26,¿cuál será el impacto del aumento en el salario mínimo em el crecimiento de la economía? ¿producirá desempleo dicho medida? ¿impactará en los precios y la balanza comercial?,"salario mínimo, economía, crecimiento económico, desempleo, precios, balanza comercial","Crecimiento económico bajo, volátil, excluyente y no sostenible, con baja creación de empleo formal. Alta desigualdad y baja movilidad y cohesiones sociales.",Los resultados ofrecerán opciones de política pública y mejora en las capacidades de los funcionarios del gobierno de Guatemala.,Identificación de frentes de expansión que permitan detectar los sectores económicos impulsores,"1, 2",,,"BALANZA DE PAGOS, COMERCIO INTERNACIONAL, CRECIMIENTO ECONÓMICO, EMPLEO, INFLACIÓN, MACROECONOMÍA"
CEPAL MEXICO,Estudio sobre Cuentas Nacional Distributivas y desigualdad de ingreso y riqueza en la subregión.,CEPAL MEXICO-25/26-9,25/26,¿cómo se distribuye el excedente económico?  ¿cuál es la magnitud real de la desigualdad en el ingreso y la riqueza?  ¿cómo se retroalimentan la desigualdad de riqueza y la de ingresos?,"cuentas nacionales, distribución del ingreso, desigualdad económica, riqueza, excedente económico",Alta desigualdad y baja movilidad y cohesiones sociales.,Los resultados producirán información confiable para la toma de decisiones encaminadas a no dejar a nadie atrás.,,2,,Distribución del ingreso: ¿Qué rol juega el sistema educativo en la perpetuación o reducción de la desigualdad del ingreso?,"CUENTAS NACIONALES, DESIGUALDAD, DISTRIBUCIÓN DEL INGRESO, DESARROLLO INCLUSIVO, ESTADÍSTICAS ECONÓMICAS"
CEPAL MEXICO,Estudio para determinar el impacto de las soluciones basadas en la naturaleza (SbN) en el valor de las exportaciones agropecuarias.,CEPAL MEXICO-WL-1,WL,¿Cuáles metodologías permiten determinar el potencial valor agregado de las SbN a las exportaciones agropecuarias? ¿Pueden las SbN mejorar el valor de las exportaciones agropecuarias?  ¿Qué otros beneficios pueden generar?,"soluciones basadas en la naturaleza, valor agregado, exportaciones agropecuarias, agricultura sostenible, producción sostenible, medio ambiente, desarrollo sostenible",Desarrollo ambientalmente insostenible y CC,El resultado último daría herramientas para estimar el valor potencial de las SbN en el valor de las exportaciones agropecuarias. ,Bioeconomía,5,11,¿Cómo se mide la contribución de estos sectores al desarrollo sostenible? ¿Existen estudios o evidencias que demuestren la efectividad de estos sectores en promover prácticas sostenibles?,"AGRICULTURA Y DESARROLLO RURAL, BIODIVERSIDAD, COMERCIO INTERNACIONAL, DESARROLLO SOSTENIBLE, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA, RECURSOS NATURALES"
CEPAL MEXICO,Estudio para determinar los límites de adaptación de recursos hídricos para generación hidroeléctricos en los países de la subregión.,CEPAL MEXICO-WL-2,WL,"¿Cuáles podrían ser los límites de adaptación de la generación hidroeléctrica, en vista del posible aumento de las sequías en la región como consecuencia del cambio climático? ¿Cuáles son las opciones de adaptación ante diferentes escenarios de la disminución de la generación hidroeléctrica en Centroamérica?, incluyendo la generación de electricidad mediante otras fuentes de energía renovable (geotermia, eólica, solar y biomasa) y no renovables (combustibles fósiles como el gas natural).","recursos hídricos, generación hidroeléctrica, adaptación, cambio climático, sequías, energía renovable, geotermia, eólica, solar, biomasa, combustibles fósiles, gas natural",Desarrollo ambientalmente insostenible y CC,"Los resultados del estudio ayudarían a una prospectiva del sector a largo plazo, con suministro de electricidad limpia, confiable y asequible en la región.  Esto también conllevaría nuevos métodos de gobernanza del sector.","Subsector eléctrico, tomando en cuenta vínculos entre recursos hídricos con otros sectores",5,8,¿Qué políticas de adaptación al cambio climático han demostrado ser efectivas en la región?,"CAMBIO CLIMÁTICO, ENERGÍA, RECURSOS HÍDRICOS, DESARROLLO SOSTENIBLE, MEDIO AMBIENTE, INFRAESTRUCTURA"
CEPAL MEXICO,Estudio sobre la desigualdad en el consumo de los alimentos y el cambio en el ambiente alimenticio (malnutrición),CEPAL MEXICO-WL-3,WL,¿el problema del hambre se debe a la falta de alimentos a a la mala distribución de los mismos?  ¿cuál es el impacto de la agricultura para la exportación en la falta de alimentos y el hambre en los países de la subregión?  ¿en qué medida el cambio en el ambiente alimenticio (compra de alimentos altamente procesados) afecta la malnutrición?  ¿cuál es el impacto de la malnutrición en la salud?,"desigualdad, consumo de alimentos, cambio ambiental, malnutrición, hambre, distribución de alimentos, agricultura, exportación, ambiente alimenticio, alimentos procesados, salud",El hambre en la subregión,"Mejora de la salud de la población, para cumplir con los derechos humanos ",Sector agropecuario y alimenticio,,12,¿Qué impactos tiene el cambio climático en la seguridad alimentaria y los medios de vida en la región?,"SEGURIDAD ALIMENTARIA Y NUTRICIONAL, AGRICULTURA Y DESARROLLO RURAL, DESIGUALDAD, SALUD,  COMERCIO INTERNACIONAL"
CEPAL MEXICO,Estudio sobre los efectos de la privatización del agua en la subregión.,CEPAL MEXICO-WL-4,WL,¿cuáles son los impactos sociales por considerar al agua como una mercancía y privatizar su servicio? ¿cuál es el impacto de la sobreexplotación con fines mineros e industriales en la salud y la escasez de agua?,"privatización del agua, efectos sociales, agua como mercancía, sobreexplotación, salud, escasez de agua, minería, industria",El agua como derecho humano,"Mejorar la salud de la población, para cumplir con los derechos humanos.",Sector agropecuario.,,13,Acceso a servicios: ¿Cómo las disparidades territoriales afectan el acceso a servicios públicos esenciales?,"RECURSOS HÍDRICOS,  GOBERNANZA DE LOS RECURSOS NATURALES, PRIVATIZACIONES"
ILPES,Prospectiva y construcción de escenarios.,ILPES-25/26-1,25/26,¿Cuál es el grado de incorporación de la prospectiva en la planificación y la gestión pública de la región. ¿Que enfoques y métodos se están utilizando en los países. ¿Cómo se vincula la elaboración de visiones con las estrategias de desarrollo. ,"prospectiva, construcción de escenarios, planificación, gestión pública, enfoques, métodos, visiones, estrategias de desarrollo",El desafío con el que se vincula la investigación es la baja capacidad institucional y una gobernanza poco efectiva,La investigación se vincula directamente con los desafíos de gobernanza y las capacidades TOPP en la construcción de futuros. ,La prospectiva y la construcción de escenarios son enfoques transversales que pueden ser usados en el conjunto de sectores impulsores.,,,¿Cómo puede contribuir la prospectiva política en la identificación de escenarios de transformación posibles?,"PLANIFICACIÓN Y PROSPECTIVA, GESTIÓN PÚBLICA, DESARROLLO SOSTENIBLE,  PLANIFICACIÓN,  DESARROLLO TERRITORIAL"
ILPES,"Gobernanza, diálogo, participación y colaboración",ILPES-25/26-2,25/26,"¿Qué factores o fuerzas principales determinan, o influyen, en la emergencia de conflictos territoriales en la región? ¿Qué formas institucionales y mecanismos de acción que podrían promover el acercamiento entre la sociedad civil y las instituciones del Estado?","gobernanza, diálogo, participación, colaboración, conflictos territoriales, sociedad civil, instituciones del estado","La investigación se vincula principalmente con los desafíos de la desigualdad en diversos ámbitos: territoriales, ambientales, sociales, entre otros.","La investigación se vincula especialmente con la dimensión de capacidades políticas del enfoque TOPP. En especial con la gestión de espacios de diálogo social, la colaboración entre niveles de gobierno, y liderazgos públicos que generen confianza y potencien la coordinación y la colaboración.","Algunos de los conflictos y las necesidades de diálogo más representativos en la región se articulan en torno de algunos de los sectores impulsores. Como transición energética, gestión del agua y turismo sostenible.  ",2,"8,13,14",¿Cómo fortalecer la dimensión colaborativa de la gobernanza? ¿Qué factores o drivers impulsan o dificultan la opción por procesos colaborativos?,"DESARROLLO TERRITORIAL, PARTICIPACIÓN CIUDADANA, COHESIÓN SOCIAL, GESTIÓN PÚBLICA, GOBIERNO ABIERTO, PLANIFICACIÓN"
ILPES,Gobernanza colaborativa ,ILPES-25/26-3,25/26,Relevar elementos clave que evidencian el rol de los PAGA para articular a distintas funciones del Estado y niveles de gobierno para la construcción de Estados abiertos y la interrelación entre los pilares del gobierno abierto y el proceso de planificación y gestión de las políticas públicas.  Analizar los compromisos asociados a los planes de acción con miras a su caracterización y cambios en el tiempo.  Analizar la sostenibilidad de los compromisos de los planes anteriores y/o retrocesos.,"gobernanza colaborativa, estados abiertos, gobierno abierto, planificación, gestión de políticas públicas, compromisos, planes de acción, sostenibilidad","Gobernanza La pérdida de confianza de la ciudadanía en las instituciones del Estado; la falta de modelos de gobernanza más abiertos, inclusivos y sostenibles y la necesidad de la ciudadanía de cocrear y colaborar en el diseño e implementación de las políticas públicas ","Investigar los modelos de gobernanza abierta, donde la transparencia, el acceso a la información, la rendición de cuentas y la participación pública son los ejes centrales para generar insumos, herramientas e instrumentos que permitan robustecer la gestión de los procesos de diseño, implementación, monitoreo, seguimiento y evaluación de las políticas, planes y proyectos que incorporen los ejes y principios de gobierno abierto, ",Se trabajará especialmente en modelos de gobernanza colaborativa para la transformación digital y sostenibilidad ambiental,,,,"GOBIERNO ABIERTO, GESTIÓN PÚBLICA, PLANIFICACIÓN, PARTICIPACIÓN CIUDADANA, POLÍTICAS PÚBLICAS"
